"participant","Group","format","timepoint","n_correct","n_errors","dprime","c","meta_d","M_ratio"
1135,"HighType2","dots",2,92,28,1.53905160181874,-0.390835737184781,0.689200089823147,0.447808305458178
1136,"NoFB","dots",1,96,24,1.64021974970184,-0.187935174625622,0.958683567276982,0.584484833481154
1136,"NoFB","dots",2,95,25,1.68037923950389,-0.450043595287055,0.758854746318,0.451597311177233
1138,"NoFB","dots",1,91,29,1.37201121904375,-0.0252544823816198,0.614516188055059,0.447894433752049
1138,"NoFB","dots",2,92,28,1.41791142631147,-0.116538777773501,1.34221757279428,0.94661595067747
1139,"LowType1","dots",1,94,26,1.61074629938576,-0.223431612312963,0.278621642099208,0.172976738922484
1139,"LowType1","dots",2,95,25,1.58901995213045,-0.0199445457285556,0.519084193630731,0.326669399547046
1140,"LowType1","dots",1,98,22,1.76532020964136,-0.0952374391198635,1.25250464534216,0.709505640110822
1140,"LowType1","dots",2,94,26,1.64062302765353,0.309345707088517,1.4598621784523,0.889821826126773
1141,"LowType1","dots",1,94,26,1.678287148908,-0.386483663223955,0.5266325697635,0.313791695364027
1141,"LowType1","dots",2,91,29,1.4176786939899,-0.225749944078531,0.693380520169597,0.489095676692548
1143,"LowType1","dots",1,94,26,1.5292223683962,-0.0306345238402623,1.22862079118912,0.803428472261793
1143,"LowType1","dots",2,95,25,1.9671254290583,-0.436616354741821,0.334913278828432,0.170255172283936
1145,"NoFB","dots",1,92,28,1.48074685237529,-0.271757599185314,1.66216376977192,1.12251717240231
1147,"HighType2","dots",1,97,23,1.84334689220618,0.435887083180943,0.529739564694649,0.287379205148218
1148,"LowType1","dots",1,94,26,1.6471386643533,0.273234229916865,0.0704424869072155,0.0427665796643009
1148,"LowType1","dots",2,94,26,1.50628160694554,0.124236585840578,1.03335663066807,0.686031500287339
1151,"LowType1","dots",1,93,27,2.59702804337347,1.05656998780663,0.277450996919255,0.106834039635111
1151,"LowType1","dots",2,96,24,1.93103599658277,0.635490666594692,0.753021272226196,0.389957138840897
1153,"LowType1","dots",1,93,27,1.65155502071086,-0.347359814571227,1.69080807088813,1.02376732817558
1153,"LowType1","dots",2,92,28,1.42329385842109,-0.02278330250167,1.34189156429002,0.942807106452793
1154,"LowType2","dots",1,93,27,1.51457601226321,-0.14214690153563,1.34996657118063,0.891316487419734
1154,"LowType2","dots",2,95,25,1.59142827981576,-0.000468431869514396,1.21765959893899,0.765136333432483
1155,"HighType2","dots",1,96,24,1.99398172017308,-0.518573164302334,0.390283546590018,0.195730754520729
1155,"HighType2","dots",2,96,24,1.64727344446271,-0.0236678176641861,1.10899161345147,0.673228611302715
1156,"HighType2","dots",1,92,28,1.66832913176919,0.436905555425245,0.826245423938377,0.495253249616388
1157,"LowType2","dots",1,91,29,1.54950346044675,-0.450875507454582,0.664200394905648,0.428653702208673
1157,"LowType2","dots",2,94,26,1.55447799314063,-0.179478870527836,0.514324271211789,0.330866228715571
1159,"NoFB","dots",1,97,23,1.70722931876954,-0.00631011948923083,1.44161170213679,0.844415970536287
1159,"NoFB","dots",2,95,25,1.79517201999342,0.340494325550401,1.04407450148832,0.581601367367651
1160,"LowType2","dots",1,97,23,1.68428077432138,0.0883588168875429,0.106585233421682,0.0632823428532139
1160,"LowType2","dots",2,90,30,1.32459382084408,0.0121928397740432,0.525373344269108,0.396629771331956
1161,"NoFB","dots",1,89,31,1.28446008414829,-0.113184984286324,0.283208321104579,0.22048822271684
1161,"NoFB","dots",2,98,22,1.7811733150626,0.110744639994395,0.887435808964263,0.498231026402434
1163,"HighType2","dots",1,99,21,1.90993009175733,0.280475295682585,2.12870821679315e-06,1.11454771354197e-06
1163,"HighType2","dots",2,96,24,2.73243250995375,0.967552319830263,1.78847956094992,0.654537506209145
1164,"HighType2","dots",1,96,24,1.66379568059189,0.409968951547378,1.69253447317664,1.01727302992789
1164,"HighType2","dots",2,95,25,1.60242875131263,0.166207190445385,2.69318208041647,1.68068756767522
1165,"HighType2","dots",1,92,28,1.42522251003858,0.00754536211926393,1.50577319569103,1.05651797181499
1165,"HighType2","dots",2,92,28,1.43990407469963,0.185776856712089,1.15050422009755,0.799014490140638
1166,"NoFB","dots",1,91,29,1.37997779091548,-0.0654261309027313,1.12643467657517,0.816270148686884
1166,"NoFB","dots",2,93,27,1.47962089698174,-0.00583378813303242,0.831778067421949,0.562156204416064
1167,"HighType2","dots",1,92,28,1.42144135659727,-0.103733843495149,1.25797421019736,0.884999021844121
1167,"HighType2","dots",2,95,25,1.59104641772919,0.121033458668515,1.81359124505868,1.13987324621686
1168,"HighType2","dots",1,95,25,1.56637293579411,0.253246921596735,1.18008862338454,0.753389308776756
1168,"HighType2","dots",2,93,27,1.51073584188275,0.179221370132103,1.25999160369243,0.834025094765851
1169,"LowType1","dots",1,90,30,1.34423844362057,0.233609672251618,1.47153203675294,1.09469569460424
1169,"LowType1","dots",2,90,30,1.3064292665412,0.0669419838679536,1.92964381706772,1.47703658092145
1170,"HighType2","dots",1,91,29,1.48256455464485,0.21288297582377,0.76838015008123,0.518277701752621
1170,"HighType2","dots",2,94,26,1.52994917421755,0.172557651726541,1.18671269767078,0.775654981007909
1171,"LowType2","dots",1,98,22,1.77044847102566,-0.0379196956172911,1.79699247698711,1.01499281475618
1171,"LowType2","dots",2,97,23,1.7776018144527,-0.251316746263975,1.63423874598725,0.919350291330799
1172,"NoFB","dots",1,93,27,1.48044089304673,-0.0013735973381514,1.42879499971135,0.965114518534345
1172,"NoFB","dots",2,92,28,1.42470512566402,-0.0378628126359293,1.06616563973861,0.748341267630166
1174,"HighType2","dots",1,91,29,1.39151525698405,0.209971265569878,1.53552440726063,1.10349088847844
1174,"HighType2","dots",2,91,29,1.41918562887104,0.333565448882936,1.18665678520355,0.836153326994674
1175,"LowType1","dots",1,92,28,1.60107021535202,0.404809811861521,1.29105484552576,0.806369910042892
1175,"LowType1","dots",2,94,26,1.57463823662778,0.224811907059067,1.30021143980159,0.825720733535661
1177,"HighType2","dots",1,94,26,1.58311125380588,0.151887005682716,1.58222319681432,0.99943904321985
1177,"HighType2","dots",2,92,28,1.47154501576796,0.297262958325312,1.10639081617315,0.751856589039348
1178,"HighType2","dots",1,95,25,1.59907517037189,-0.178359958754595,1.44713481319921,0.904982354808653
1178,"HighType2","dots",2,98,22,2.3819441726002,-0.739313769757483,1.10638815045623,0.464489538916634
1179,"LowType2","dots",1,92,28,1.38835113506073,-0.236323636517868,0.7189295192288,0.517829748594079
1179,"LowType2","dots",2,93,27,1.49780641113863,-0.0864679380027963,0.86740271252474,0.579115369031797
1182,"HighType2","dots",1,91,29,1.45117892981144,-0.205413845332226,0.937538207271607,0.646052797495777
1182,"HighType2","dots",2,93,27,1.49585843454331,-0.0616504148471776,1.33496358255445,0.892439786898693
1183,"LowType2","dots",1,91,29,1.44971072528864,0.230722175296109,0.725460532136436,0.500417441549929
1183,"LowType2","dots",2,92,28,1.48215912848249,0.381682733949696,0.191715706432694,0.129348936121982
1184,"HighType2","dots",1,95,25,1.6258940620807,0.188384266485343,1.48022544829348,0.910407069449036
1184,"HighType2","dots",2,99,21,1.86916828111665,0.37252257573006,0.789907160338293,0.422598204944071
1185,"LowType2","dots",1,94,26,1.56721064684702,0.249430142785783,0.388874352431308,0.248131515194631
1185,"LowType2","dots",2,96,24,1.73210667407971,-0.263603883875429,0.663040927797018,0.382794511284533
1187,"NoFB","dots",1,90,30,1.32203771151256,0.0260116705453475,0.703757681337301,0.532327992771193
1187,"NoFB","dots",2,91,29,1.37760214357938,0.0910409457472125,1.09602019640332,0.795599949892325
1190,"LowType1","dots",1,96,24,1.66036360545418,0.0569647562917861,0.782050544459638,0.471011615703124
1190,"LowType1","dots",2,94,26,1.52563733729888,0.0430998111242065,0.000777213091363087,0.000509435022571701
1191,"LowType2","dots",1,93,27,1.61037221875343,-0.45848191569241,1.15164750864973,0.715143676249711
1191,"LowType2","dots",2,94,26,1.54073607927283,-0.135360854425486,1.72188296229664,1.11757164997999
1192,"NoFB","dots",1,91,29,1.37793260347474,0.169518172404461,1.28461310213851,0.932275714283189
1194,"NoFB","dots",1,94,26,1.69540642361281,-0.302646168569605,1.10863962590588,0.653907883363708
1197,"NoFB","dots",1,95,25,1.84507277890364,-0.498960305250622,2.09350260687839,1.13464500198326
1197,"NoFB","dots",2,96,24,2.13081593816721,-0.589026756606646,1.923118948925,0.902527015345653
1198,"LowType2","dots",1,91,29,1.37374581936666,0.182550863605554,1.38857735968917,1.01079642253568
1198,"LowType2","dots",2,91,29,1.3871501896272,0.222981572719512,0.669152441413487,0.482393648804044
1200,"NoFB","dots",1,91,29,1.36468822324517,0.0378125055159694,0.609474188259801,0.446603244520202
1201,"HighType2","dots",1,98,22,1.87095037352734,0.237662138162987,1.24271765724414,0.664217327636127
1201,"HighType2","dots",2,97,23,1.71764801351454,0.184334256561186,1.44018462037516,0.838463182819599
1202,"LowType2","dots",1,89,31,1.28042212300364,-0.139630956035082,0.728933193454888,0.569291314449442
1203,"NoFB","dots",1,97,23,1.70768969749831,0.124052695191386,1.19337801176946,0.698826029996962
1203,"NoFB","dots",2,92,28,1.45024521439252,0.122673154031837,0.525260778975853,0.362187562326054
1204,"HighType2","dots",1,93,27,1.44745147449581,0.153651652065442,0.684920780602984,0.473190841055009
1204,"HighType2","dots",2,95,25,1.65534407014687,-0.212530930477463,0.797198681428593,0.481590924693898
1205,"LowType1","dots",1,96,24,1.83544807855157,0.342614757997345,0.852726174958426,0.464587467726872
1205,"LowType1","dots",2,93,27,1.48697758326756,0.254712380519109,0.709441972193297,0.477103340478298
1206,"LowType1","dots",1,93,27,1.48079343712112,0.0394452989763459,0.13839531087974,0.0934602405780519
1206,"LowType1","dots",2,98,22,1.77046326296091,-0.0493576595930252,1.49494468603518,0.844380517410478
1208,"NoFB","dots",1,97,23,1.69781466242026,-0.318967784909808,0.449298202819022,0.264633244584272
1208,"NoFB","dots",2,97,23,1.71443130861038,-0.0773736367682881,0.944221237884212,0.550748946978542
1209,"NoFB","dots",1,91,29,1.3737730525793,0.0123967760935691,1.00907118777248,0.734525390404128
1209,"NoFB","dots",2,94,26,1.55127037910921,0.191786376547095,1.50532000980377,0.970378877902749
1210,"NoFB","dots",1,96,24,1.77314015156553,0.496424051317874,0.0198122570059525,0.0111735425924792
1211,"LowType1","dots",1,97,23,1.71018136464638,0.112330883778513,1.27174691755398,0.74363277711013
1211,"LowType1","dots",2,98,22,1.78187608789548,-0.0764835221539591,0.944645598263111,0.530141015236812
1212,"LowType1","dots",1,91,29,1.38942470241695,-0.105256553358695,1.19953878007089,0.863334859373274
1212,"LowType1","dots",2,95,25,1.6168842792168,-0.224593326600891,0.486274143667058,0.30074764775535
1214,"HighType2","dots",1,94,26,1.5418268084013,-0.0252691675767442,1.09540405380394,0.710458559829917
1214,"HighType2","dots",2,94,26,1.59826392837918,-0.28413819930008,1.29859345587422,0.81250251151644
1215,"LowType1","dots",1,89,31,1.7543819658836,0.8771909829418,1.30005062100924,0.74103054311463
1215,"LowType1","dots",2,92,28,1.41501816036302,0.18310856747347,0.789909977213658,0.558233102118638
