"participant","Group","timepoint","n_correct_bio","n_correct_dots","n_errors_bio","n_errors_dots","dprime_bio","dprime_dots","meta_d_bio","meta_d_dots","M_ratio_bio","M_ratio_dots"
1160,"LowType2",2,26,90,12,30,0.944533452633262,1.32459382084408,0.0273865231015914,0.525373344269108,0.0289947624673754,0.396629771331956
1161,"NoFB",1,16,89,22,31,NA,1.28446008414829,NA,0.283208321104579,NA,0.22048822271684
1161,"NoFB",2,26,98,12,22,1.11895838106256,1.7811733150626,5.4515750051409e-07,0.887435808964263,4.87200873366184e-07,0.498231026402434
1163,"HighType2",1,25,99,13,21,0.786878552315271,1.90993009175733,1.01764727225302,2.12870821679315e-06,1.29327107627822,1.11454771354197e-06
1163,"HighType2",2,24,96,14,24,NA,2.73243250995375,NA,1.78847956094992,NA,0.654537506209145
1164,"HighType2",1,17,96,21,24,NA,1.66379568059189,NA,1.69253447317664,NA,1.01727302992789
1164,"HighType2",2,21,95,17,25,NA,1.60242875131263,NA,2.69318208041647,NA,1.68068756767522
1165,"HighType2",1,22,92,16,28,NA,1.42522251003858,NA,1.50577319569103,NA,1.05651797181499
1165,"HighType2",2,20,92,18,28,NA,1.43990407469963,NA,1.15050422009755,NA,0.799014490140638
1166,"NoFB",1,22,91,16,29,NA,1.37997779091548,NA,1.12643467657517,NA,0.816270148686884
1166,"NoFB",2,23,93,15,27,NA,1.47962089698174,NA,0.831778067421949,NA,0.562156204416064
1167,"HighType2",1,29,92,9,28,1.35317515240295,1.42144135659727,1.25324856279056,1.25797421019736,0.926153987209316,0.884999021844121
1167,"HighType2",2,31,95,7,25,1.68391906627969,1.59104641772919,0.793458260198387,1.81359124505868,0.471197384771815,1.13987324621686
1168,"HighType2",1,21,95,17,25,NA,1.56637293579411,NA,1.18008862338454,NA,0.753389308776756
1168,"HighType2",2,24,93,14,27,NA,1.51073584188275,NA,1.25999160369243,NA,0.834025094765851
1169,"LowType1",1,20,90,18,30,NA,1.34423844362057,NA,1.47153203675294,NA,1.09469569460424
1169,"LowType1",2,15,90,23,30,NA,1.3064292665412,NA,1.92964381706772,NA,1.47703658092145
1170,"HighType2",1,29,91,9,29,1.38835148124336,1.48256455464485,1.29871885585219,0.76838015008123,0.935439529109085,0.518277701752621
1170,"HighType2",2,29,94,9,26,1.35317515240295,1.52994917421755,1.73694338895613,1.18671269767078,1.28360573712257,0.775654981007909
1171,"LowType2",1,21,98,17,22,NA,1.77044847102566,NA,1.79699247698711,NA,1.01499281475618
1171,"LowType2",2,21,97,17,23,NA,1.7776018144527,NA,1.63423874598725,NA,0.919350291330799
1172,"NoFB",1,28,93,10,27,1.19240710366503,1.48044089304673,0.47170658894884,1.42879499971135,0.395591897682413,0.965114518534345
1172,"NoFB",2,30,92,8,28,1.53691906862961,1.42470512566402,0.312206260231116,1.06616563973861,0.203137736139544,0.748341267630166
1174,"HighType2",1,23,91,15,29,NA,1.39151525698405,NA,1.53552440726063,NA,1.10349088847844
1174,"HighType2",2,26,91,12,29,0.907524380339759,1.41918562887104,1.01363301740278,1.18665678520355,1.11692097684835,0.836153326994674
1175,"LowType1",1,26,92,12,28,0.916399490006854,1.60107021535202,1.21874674123386,1.29105484552576,1.3299295280323,0.806369910042892
1175,"LowType1",2,28,94,10,26,1.20917721653035,1.57463823662778,0.879791546423558,1.30021143980159,0.72759520639006,0.825720733535661
1177,"HighType2",1,23,94,15,26,NA,1.58311125380588,NA,1.58222319681432,NA,0.99943904321985
1177,"HighType2",2,24,92,14,28,NA,1.47154501576796,NA,1.10639081617315,NA,0.751856589039348
1178,"HighType2",1,25,95,13,25,0.772830608671933,1.59907517037189,6.07204400422809e-11,1.44713481319921,7.85688860675765e-11,0.904982354808653
1178,"HighType2",2,24,98,14,22,NA,2.3819441726002,NA,1.10638815045623,NA,0.464489538916634
1179,"LowType2",1,37,92,1,28,NA,1.38835113506073,NA,0.7189295192288,NA,0.517829748594079
1179,"LowType2",2,38,93,0,27,NA,1.49780641113863,NA,0.86740271252474,NA,0.579115369031797
1182,"HighType2",1,24,91,14,29,NA,1.45117892981144,NA,0.937538207271607,NA,0.646052797495777
1182,"HighType2",2,20,93,18,27,NA,1.49585843454331,NA,1.33496358255445,NA,0.892439786898693
1183,"LowType2",1,19,91,19,29,NA,1.44971072528864,NA,0.725460532136436,NA,0.500417441549929
1183,"LowType2",2,28,92,10,28,1.35999877494859,1.48215912848249,1.00472818863225,0.191715706432694,0.738771392400871,0.129348936121982
1184,"HighType2",1,18,95,20,25,NA,1.6258940620807,NA,1.48022544829348,NA,0.910407069449036
1184,"HighType2",2,19,99,19,21,NA,1.86916828111665,NA,0.789907160338293,NA,0.422598204944071
1185,"LowType2",1,16,94,22,26,NA,1.56721064684702,NA,0.388874352431308,NA,0.248131515194631
1185,"LowType2",2,21,96,17,24,NA,1.73210667407971,NA,0.663040927797018,NA,0.382794511284533
1187,"NoFB",1,18,90,20,30,NA,1.32203771151256,NA,0.703757681337301,NA,0.532327992771193
1187,"NoFB",2,20,91,18,29,NA,1.37760214357938,NA,1.09602019640332,NA,0.795599949892325
1189,"LowType1",1,19,NA,19,NA,NA,NA,NA,NA,NA,NA
1189,"LowType1",2,22,NA,16,NA,NA,NA,NA,NA,NA,NA
