,ID,Progress,Duration..in.seconds.,RecordedDate,Age,Lang,Standing,TimeUNL,FirstGen,Courses,Major,Minor,StartMajor,ContMajor,GPA,CumuGPA,RaceEth,age_yr,GenderRec,MIA_Reg,MIA_Know,Group_2.x,Group_1.x,CorResp_2,CorResp_1,TrialRT_2,TrialRT_1,CorrTrialRT_2,CorrTrialRT_1,ConfRT_2,ConfRT_1,ConfResp_2,ConfResp_1,UnderConf_2,UnderConf_1,OverConf_2,OverConf_1,PreConf_2,PreConf_1,PostConf_2,PostConf_1,AUROC2_2,AUROC2_1,BROC_2,BROC_1,BioPropAcc_2,BioPropAcc_1,dprime_2,dprime_1,c_2,c_1,meta_d_2,meta_d_1,M_ratio_2,M_ratio_1,Group_1.y,Group_2.y,DotsAcc_1,DotsAcc_2,DotsTrialRT_1,DotsTrialRT_2,DotCorTrialRT_1,DotCorTrialRT_2,DotConfRT_1,DotConfRT_2,DotConfResp_1,DotConfResp_2,DotOverConf_1,DotOverConf_2,DotPreConf_1,DotPreConf_2,DotPostConf_1,DotPostConf_2,DotsAUROC2_1,DotsAUROC2_2,DotsBROC_1,DotsBROC_2,DotsPropAcc_1,DotsPropAcc_2,DotsdPrime_1,DotsdPrime_2,Dots_c_1,Dots_c_2,Dots_MetaD_1,Dots_MetaD_2,Dots_MRatio_1,Dots_MRatio_2
21,1129,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighType2,NA,11,NA,7096.805556,NA,7514.909091,NA,1164.842105,NA,2.710526316,NA,4,NA,18,NA,NA,NA,NA,NA,0.530503979,NA,0.020242915,NA,28.94736842,NA,NA,NA,NA,NA,NA,NA,NA,HighType2,NA,92,NA,811.2766667,NA,753.1413043,NA,517.1948276,NA,2.983333333,NA,16,NA,NA,NA,NA,NA,0.695390071,NA,-0.309912559,NA,76.66666667,NA,1.42522251,NA,0.007545362,NA,1.33147977,NA,0.934225892,NA
22,1130,100,977,11/6/24 9:53,NA,1,1,1,2,,,,1,1,4,4,1,NA,Female,18,11,LowType1,LowType1,27,24,6397.815789,8110.416667,6309.148148,8032.833333,1016.763158,1732.578947,2.552631579,2.394736842,12,14,5,7,NA,NA,NA,NA,0.588859416,0.491586538,-0.002061856,-0.014084507,71.05263158,63.15789474,1.07405439,NA,0.218387831,NA,0.848813271,NA,0.790288908,NA,LowType1,LowType1,93,92,569.6016667,394.1783333,515.9010753,386.551087,576.026087,343.0364407,2.575,2.633333333,9,3,NA,NA,NA,NA,0.596733212,0.713829787,0.055992141,0.444786521,77.5,76.66666667,1.770570519,1.658365326,0.936463271,0.652361828,0.778995535,1.994632117,0.439968658,1.202770033
23,1131,100,536,11/5/24 20:24,4,1,1,1,2,,,,1,1,3.7,3.7,1,18,Female,28,15,HighType2,HighType2,26,21,9096.894737,12587.72222,9537.423077,12362.19048,1348.473684,1872.184211,2.631578947,2.5,12,10,7,8,NA,NA,NA,NA,0.383928571,0.561784897,0.011117613,0.00059803,68.42105263,55.26315789,0.9210293,NA,-0.094408293,NA,2.17993741045734e-07,NA,2.36684914544319e-07,NA,HighType2,HighType2,94,98,963.8916667,561.6583333,863.7234043,512.2653061,796.0948276,337.9411765,2.316666667,2.225,3,0,NA,NA,NA,NA,0.740885417,0.736458333,0.41998162,1,78.33333333,81.66666667,1.545096286,1.767278424,0.299759022,-0.003507347,1.655619369,1.670198217,1.071531518,0.945067961
24,1134,100,365,1/30/25 16:51,4,1,1,1,2,,,,1,1,3.898,3.898,1,18,Female,15,14,LowType1,LowType1,22,21,7962.594595,7264.947368,8082.590909,7351.285714,1109.105263,857.7894737,2.447368421,2.289473684,8,12,5,5,NA,NA,NA,NA,0.6875,0.602974828,0.03711206,0.082397004,57.89473684,55.26315789,NA,NA,NA,NA,NA,NA,NA,NA,LowType1,LowType1,95,91,739.0116667,492.0433333,730.42,458.1252747,643.6134454,468.3125,2.15,2.466666667,5,8,NA,NA,NA,NA,0.596983582,0.64880333,0.195543175,0.104424806,79.16666667,75.83333333,1.734459973,1.382133259,0.316894884,0.016576879,0.883490533,1.351623785,0.509374991,0.977925809
25,1135,100,275,2/3/25 15:08,4,1,1,2,2,,,,1,2,4,4,4,18,Female,23,13,HighType2,HighType2,27,29,7398.222222,8307.216216,6475.407407,8042.931034,1310.973684,962.1578947,2.815789474,2.789473684,4,5,8,4,NA,NA,NA,NA,0.595490716,0.692082111,-0.222299846,-0.267520723,71.05263158,76.31578947,1.044208413,1.388351481,0.115379955,0.24041355,1.007535968,1.602651416,0.964880148,1.154355679,HighType2,HighType2,93,92,649.5375,221.5933333,439.9172043,221.5206522,504.3863248,190.1550847,2.325,2.875,4,19,NA,NA,NA,NA,0.646642468,0.608156028,0.324877632,-0.123581689,77.5,76.66666667,1.52712479,1.539051602,-0.24856863,-0.390835737,1.031081106,0.68920009,0.675178029,0.447808305
26,1136,100,321,1/31/25 9:41,4,1,1,2,2,,,,1,2,4,4,1,18,Female,20,14,NoFB,NoFB,28,28,6923.263158,10440.22222,7262.035714,10199.46429,1108.947368,1450.763158,2.868421053,2.815789474,7,9,6,4,NA,NA,NA,NA,0.613888889,0.676388889,-0.122807018,-0.047778149,73.68421053,73.68421053,1.265541264,1.209177217,-0.266664275,-0.150826418,1.092714998,1.314409921,0.863436878,1.087028356,NoFB,NoFB,96,95,1109.930833,695.1133333,1050.265625,627.08,700.3277311,426.9225,2.116666667,2.083333333,1,1,NA,NA,NA,NA,0.612637363,0.577701413,0.65655623,0.612903226,80,79.16666667,1.64021975,1.68037924,-0.187935175,-0.450043595,0.958683567,0.758854746,0.584484833,0.451597311
27,1138,100,273,2/4/25 16:34,4,1,1,1,1,,,,1,2,1.9,1.9,1,18,Female,20,14,NA,NoFB,NA,20,NA,9183.742857,NA,8668.75,NA,1861.342105,NA,2.5,NA,9,NA,6,NA,NA,NA,NA,NA,0.607954545,NA,0.053814311,NA,52.63157895,NA,NA,NA,NA,NA,NA,NA,NA,NoFB,NoFB,91,92,949.475,824.005,915.1758242,892.4461539,614.8358333,464.040678,1.558333333,1.65,0,0,NA,NA,NA,NA,0.580992022,0.675531915,1,1,75.83333333,76.66666667,1.372011219,1.417911426,-0.025254482,-0.116538778,0.614516188,1.342217573,0.447894434,0.946615951
28,1139,100,279,2/5/25 18:15,4,1,2,This is my second semester at UNL,2,,,,2,1,4,4,1,18,Female,23,16,NA,LowType1,NA,22,NA,7021.973684,NA,7646.090909,NA,680.8421053,NA,3.078947368,NA,1,NA,12,NA,NA,NA,NA,NA,0.696759259,NA,-0.624161074,NA,57.89473684,NA,NA,NA,NA,NA,NA,NA,NA,LowType1,LowType1,94,95,455.6366667,368.4908333,441.1184783,322.4293478,483.955,267.8542373,3.475,3.608333333,21,21,NA,NA,NA,NA,0.55952381,0.58419244,-0.284195665,-0.538352273,78.33333333,79.16666667,1.610746299,1.589019952,-0.223431612,-0.019944546,0.278621642,0.519084194,0.172976739,0.3266694
29,1140,100,336,1/31/25 12:44,NA,1,2,3,2,,,,2,1,3.95,3.89,1,NA,Female,14,13,LowType1,LowType1,25,24,7201.184211,10079.73684,7552.44,10703,1141.078947,1113.078947,2.421052632,2.684210526,12,8,3,5,NA,NA,NA,NA,0.658024691,0.621394231,0.168772443,-0.016311167,65.78947368,63.15789474,0.764194696,NA,0.115103223,NA,1.19559718,NA,1.564519076,NA,LowType1,LowType1,98,94,744.5833333,303.6916667,608.1122449,247.8172043,633.3965517,431.6083333,2.666666667,2.775,8,11,NA,NA,NA,NA,0.695,0.722284226,-0.025473626,-0.153103304,81.66666667,78.33333333,1.76532021,1.640623028,-0.095237439,0.309345707,1.252504645,1.459862178,0.70950564,0.889821826
30,1141,100,480,2/3/25 14:47,4,1,1,1,1,,,,1,1,4,4,1,18,Male,31,17,LowType1,LowType1,32,28,8994.783784,13391.61111,8573.59375,13198.57143,1628.052632,1794.394737,2.947368421,2.710526316,9,12,3,5,NA,NA,NA,NA,0.689338235,0.543055556,-0.105831533,-0.010309278,84.21052632,73.68421053,1.905764407,1.209177217,-0.197467177,-0.150826418,1.487912072,0.317154946,0.780742922,0.262289879,LowType1,LowType1,94,91,1162.270833,960.9883333,1078.367021,880.2989011,974.98,473.3116667,1.9,1.9,5,3,NA,NA,NA,NA,0.601190476,0.613596948,0.147663696,0.34131739,78.33333333,75.83333333,1.678287149,1.417678694,-0.386483663,-0.225749944,0.52663257,0.69338052,0.313791695,0.489095677
