"participant","Group","format","timepoint","n_correct","n_errors","dprime","c","meta_d","M_ratio"
1219,"NoFB","bio",1,17,21,NA,NA,NA,NA
1219,"NoFB","bio",2,19,19,NA,NA,NA,NA
1220,"LowType1","bio",1,16,22,NA,NA,NA,NA
1220,"LowType1","bio",2,21,17,NA,NA,NA,NA
1221,"LowType1","bio",1,24,14,NA,NA,NA,NA
1221,"LowType1","bio",2,27,11,1.05152231621236,0.0719989679362994,1.42894479290296,1.35892959271668
1222,"LowType1","bio",1,20,18,NA,NA,NA,NA
1222,"LowType1","bio",2,17,21,NA,NA,NA,NA
1223,"NoFB","bio",1,20,18,NA,NA,NA,NA
1223,"NoFB","bio",2,24,14,NA,NA,NA,NA
1224,"HighType2","bio",1,19,19,NA,NA,NA,NA
1224,"HighType2","bio",2,23,15,NA,NA,NA,NA
1227,"HighType2","bio",1,27,11,1.05152231621236,0.0719989679362994,0.73995793258524,0.703701596415575
1227,"HighType2","bio",2,27,11,1.05212351338421,-0.0288611860105498,0.50170386851084,0.476848832032168
1228,"LowType1","bio",1,25,13,0.786878552315271,0.204320849884843,2.15908125606993,2.74385577001325
1229,"LowType2","bio",1,19,19,NA,NA,NA,NA
1229,"LowType2","bio",2,20,18,NA,NA,NA,NA
1232,"LowType2","bio",1,31,7,1.69000431743395,-0.0895871323565052,1.43642264643133,0.849952057289621
1232,"LowType2","bio",2,31,7,1.68391906627969,0.125462032961855,1.87884788921322,1.11575902122433
1233,"LowType2","bio",1,22,16,NA,NA,NA,NA
1233,"LowType2","bio",2,18,20,NA,NA,NA,NA
1235,"LowType2","bio",1,33,5,2.08493867144949,-0.107880044651264,3.01635649312259,1.44673631624165
1235,"LowType2","bio",2,32,6,1.86685647376894,0.0339933292172338,2.53079283389161,1.35564403019278
1237,"LowType2","bio",1,29,9,1.35317515240295,-0.0788274501589954,0.305525701266477,0.225784297564088
1238,"LowType2","bio",1,22,16,NA,NA,NA,NA
1238,"LowType2","bio",2,25,13,0.786878552315271,0.204320849884843,1.11922812563366e-10,1.42236450890738e-10
1241,"NoFB","bio",1,24,14,NA,NA,NA,NA
1241,"NoFB","bio",2,28,10,1.21369807085955,-0.109648464748219,1.75747625006781e-08,1.44803414643574e-08
1243,"NoFB","bio",1,28,10,1.19552025208496,0,0.733494851650244,0.613536115654292
1243,"NoFB","bio",2,28,10,1.2655412644678,-0.266664275433332,0.646184032342751,0.510598943302327
1244,"LowType2","bio",1,18,20,NA,NA,NA,NA
1244,"LowType2","bio",2,15,23,NA,NA,NA,NA
1245,"HighType2","bio",1,24,14,NA,NA,NA,NA
1245,"HighType2","bio",2,24,14,NA,NA,NA,NA
1246,"LowType2","bio",1,19,19,NA,NA,NA,NA
1246,"LowType2","bio",2,27,11,1.05152231621236,-0.0719989679362994,0.585667772261624,0.556971319801592
1247,"NoFB","bio",1,34,4,NA,NA,NA,NA
1247,"NoFB","bio",2,29,9,1.35398166114037,-0.0395066696078072,0.66537060352266,0.491417736752995
1248,"LowType2","bio",1,25,13,0.79596333658868,-0.156941274408313,1.20795083022178,1.51759606843048
1248,"LowType2","bio",2,29,9,1.35317515240295,-0.0788274501589954,7.10227026513867e-10,5.24859642340207e-10
1249,"LowType2","bio",1,14,24,NA,NA,NA,NA
1249,"LowType2","bio",2,19,19,NA,NA,NA,NA
1250,"NoFB","bio",1,21,17,NA,NA,NA,NA
1250,"NoFB","bio",2,26,12,0.916399490006854,0.139560381039052,0.0110839069586083,0.0120950601560521
1251,"LowType1","bio",1,25,13,0.786878552315271,-0.204320849884843,8.92855909404039e-07,1.13468070361931e-06
1251,"LowType1","bio",2,22,16,NA,NA,NA,NA
1252,"LowType1","bio",1,20,18,NA,NA,NA,NA
1252,"LowType1","bio",2,21,17,NA,NA,NA,NA
1253,"NoFB","bio",1,25,13,0.786878552315271,-0.204320849884843,0.910119706992675,1.15662029968257
1253,"NoFB","bio",2,26,12,0.921029299503223,-0.0944082929510419,2.4341078320495,2.64281259386904
1254,"NoFB","bio",1,26,12,0.916399490006854,0.139560381039052,0.410513273518095,0.447963227822208
1256,"LowType2","bio",1,27,11,1.05152231621236,0.0719989679362994,0.766295906291506,0.728749066450389
1256,"LowType2","bio",2,35,3,NA,NA,NA,NA
1257,"LowType2","bio",1,23,15,NA,NA,NA,NA
1257,"LowType2","bio",2,23,15,NA,NA,NA,NA
1260,"LowType1","bio",1,24,14,NA,NA,NA,NA
1260,"LowType1","bio",2,22,16,NA,NA,NA,NA
